frame,L_thumb_x,L_thumb_y,L_thumb_z,L_index_x,L_index_y,L_index_z,L_middle_x,L_middle_y,L_middle_z,L_ring_x,L_ring_y,L_ring_z,L_pinky_x,L_pinky_y,L_pinky_z,R_thumb_x,R_thumb_y,R_thumb_z,R_index_x,R_index_y,R_index_z,R_middle_x,R_middle_y,R_middle_z,R_ring_x,R_ring_y,R_ring_z,R_pinky_x,R_pinky_y,R_pinky_z
0,0.5358884334564209,0.9306455850601196,-0.04412101209163666,0.591220498085022,0.6799972057342529,-0.06100953370332718,0.6438367366790771,0.6395106315612793,-0.06136373057961464,0.6835376024246216,0.6619906425476074,-0.06433199346065521,0.730322003364563,0.7377400994300842,-0.059069808572530746,0.28254666924476624,0.946075439453125,-0.05449160933494568,0.24877046048641205,0.708258867263794,-0.084721639752388,0.1930125653743744,0.6391583681106567,-0.08974567800760269,0.15399333834648132,0.652686357498169,-0.0873236358165741,0.11598090827465057,0.7178694605827332,-0.08182062953710556
1,0.5330921411514282,0.925012469291687,-0.019340982660651207,0.5906094312667847,0.680933952331543,-0.028128664940595627,0.6421029567718506,0.6389838457107544,-0.03262585774064064,0.6848748326301575,0.6647911667823792,-0.037519387900829315,0.7298533320426941,0.7383885979652405,-0.02778039313852787,0.28908270597457886,0.9522740244865417,-0.04264932870864868,0.24985995888710022,0.7063589692115784,-0.06245729699730873,0.19440671801567078,0.6378812789916992,-0.070002980530262,0.15734359622001648,0.6571148633956909,-0.0702119842171669,0.11454980075359344,0.716230571269989,-0.06781421601772308
2,0.5325024724006653,0.9292696118354797,0.020911993458867073,0.5912121534347534,0.6773056387901306,0.017515992745757103,0.6420566439628601,0.6363414525985718,0.005840020719915628,0.6866434812545776,0.6637758016586304,0.0011137515539303422,0.729473352432251,0.7408387660980225,0.013386806473135948,0.2909192740917206,0.9516682624816895,-0.044280558824539185,0.24949949979782104,0.7031821608543396,-0.06033870205283165,0.19454215466976166,0.6358250379562378,-0.06467584520578384,0.15681299567222595,0.6562061309814453,-0.06319120526313782,0.11497115343809128,0.7165466547012329,-0.059340350329875946
3,0.5327956676483154,0.9281177520751953,0.000828541349619627,0.5907904505729675,0.6757495403289795,-0.004380292724817991,0.6412127614021301,0.6392751932144165,-0.013074086047708988,0.6855410933494568,0.6650912761688232,-0.01758858747780323,0.7292168140411377,0.7382727265357971,-0.007173213642090559,0.29173752665519714,0.9531263113021851,-0.04240148514509201,0.24978013336658478,0.7059987783432007,-0.05602274835109711,0.19437706470489502,0.6363197565078735,-0.0604860819876194,0.15675607323646545,0.6603269577026367,-0.05838784947991371,0.11437685787677765,0.7179310917854309,-0.053722772747278214
4,0.5322321057319641,0.9256712198257446,0.016238711774349213,0.590848445892334,0.6781610250473022,0.01603320613503456,0.6410031318664551,0.6371841430664062,0.0037763481959700584,0.6857596635818481,0.6645979285240173,0.00011165231262566522,0.7302134037017822,0.7389066219329834,0.012350429780781269,0.2921106815338135,0.9536042809486389,-0.04210284352302551,0.2506902515888214,0.7086384296417236,-0.05568289756774902,0.19463732838630676,0.6385678648948669,-0.06081691384315491,0.1581466794013977,0.6622669696807861,-0.05942365899682045,0.11569146066904068,0.7201814651489258,-0.05515137314796448
5,0.5323652625083923,0.9273812174797058,0.0054551069624722,0.589493453502655,0.677879810333252,0.0014300105394795537,0.6411426663398743,0.6383607387542725,-0.006935700308531523,0.685869574546814,0.666949987411499,-0.010867402888834476,0.7298250794410706,0.7401044368743896,0.00012231791333761066,0.29230397939682007,0.9538778066635132,-0.04268984496593475,0.25116658210754395,0.7082590460777283,-0.057266347110271454,0.1953068971633911,0.638266921043396,-0.06164885684847832,0.15845619142055511,0.6588870882987976,-0.06052812561392784,0.11613791435956955,0.7192849516868591,-0.05687764286994934
6,0.5324388742446899,0.9271394610404968,0.01622382551431656,0.5901563167572021,0.6793074607849121,0.01333796326071024,0.6413763165473938,0.637876033782959,0.0008127925684675574,0.6854164004325867,0.6649100184440613,-0.0033213431015610695,0.7302843332290649,0.7375345230102539,0.0079982690513134,0.29310792684555054,0.9533646702766418,-0.0425800159573555,0.2515045702457428,0.7094751596450806,-0.05752044916152954,0.19570112228393555,0.638473629951477,-0.0629168376326561,0.158259779214859,0.6601390838623047,-0.06159411743283272,0.11654562503099442,0.7173085808753967,-0.05774405226111412
7,0.5325323343276978,0.9282439351081848,0.0005827093846164644,0.5887506008148193,0.6781220436096191,-0.005739514250308275,0.6412393450737,0.6383123397827148,-0.0130058154463768,0.6850783228874207,0.6662604212760925,-0.017298148944973946,0.7307066917419434,0.7394453287124634,-0.006613326258957386,0.2928476929664612,0.9548283815383911,-0.04088660329580307,0.2518615126609802,0.7097043991088867,-0.05573304742574692,0.1955932378768921,0.637812614440918,-0.06143248453736305,0.15729385614395142,0.6599346995353699,-0.060029536485672,0.11571713536977768,0.7185816764831543,-0.055595431476831436
8,0.5325444936752319,0.9291726350784302,0.012253680266439915,0.5893174409866333,0.679700493812561,0.005801186431199312,0.6414631605148315,0.63771653175354,-0.005488273687660694,0.6849443912506104,0.6645351648330688,-0.007445220369845629,0.7322930693626404,0.7379171848297119,0.005286678206175566,0.2921760082244873,0.955121636390686,-0.03735746070742607,0.2518976628780365,0.71049565076828,-0.05121074989438057,0.19517295062541962,0.6388262510299683,-0.057634178549051285,0.15673744678497314,0.6612002849578857,-0.05613282695412636,0.11542360484600067,0.7198594808578491,-0.050792526453733444
9,0.5324125289916992,0.9298943877220154,0.02055368758738041,0.5885925889015198,0.6809338927268982,0.013204129412770271,0.6416853070259094,0.6373844146728516,0.001995619386434555,0.6866838335990906,0.6642099022865295,0.0015391389606520534,0.7333672642707825,0.7382950782775879,0.01531333290040493,0.2915955185890198,0.9567434191703796,-0.03889596834778786,0.25105947256088257,0.7113984823226929,-0.05369242653250694,0.1948426067829132,0.6391481161117554,-0.06038178876042366,0.156943216919899,0.6613678932189941,-0.05942930281162262,0.11474920809268951,0.7202909588813782,-0.05453934520483017
